track_id,label,action,date,time
3,person ID: 3,OUT,2025-02-05,16:04:01
2,person ID: 2,OUT,2025-02-05,16:04:01
9,person ID: 9,OUT,2025-02-05,16:04:01
22,person ID: 22,IN,2025-02-05,16:04:01
30,person ID: 30,IN,2025-02-05,16:04:02
41,person ID: 41,IN,2025-02-05,16:04:03
50,person ID: 50,IN,2025-02-05,16:04:04
77,person ID: 77,IN,2025-02-05,16:04:04
51,person ID: 51,IN,2025-02-05,16:04:04
88,person ID: 88,IN,2025-02-05,16:04:05
105,person ID: 105,IN,2025-02-05,16:04:05
122,person ID: 122,IN,2025-02-05,16:04:06
139,person ID: 139,IN,2025-02-05,16:04:07
130,person ID: 130,IN,2025-02-05,16:04:07
182,person ID: 182,IN,2025-02-05,16:04:08
159,person ID: 159,IN,2025-02-05,16:04:10
